Day,Date,Time,GymA,GymB,GymC,temperature,relative_humidity,apparent_temperature,precipitation,rain,showers,snowfall,weather_code,cloud_cover,wind_speed
Monday,04/12/2023,09:03:14,0,0,16,7.25,44.0,3.2618556022644043,0.0,0.0,0.0,0.0,1.0,22.0,8.89134407043457
Monday,04/12/2023,09:33:37,0,0,21,7.25,44.0,3.2618556022644043,0.0,0.0,0.0,0.0,1.0,22.0,8.89134407043457
Monday,04/12/2023,10:03:58,17,2,15,8.449999809265137,41.0,4.725878715515137,0.0,0.0,0.0,0.0,0.0,0.0,7.199999809265137
Monday,04/12/2023,10:34:21,21,8,21,8.449999809265137,41.0,4.725878715515137,0.0,0.0,0.0,0.0,0.0,0.0,7.199999809265137
Monday,04/12/2023,11:04:49,28,9,16,9.350000381469727,38.0,5.894892692565918,0.0,0.0,0.0,0.0,3.0,100.0,5.191993713378906
Monday,04/12/2023,11:35:11,15,9,16,9.350000381469727,38.0,5.894892692565918,0.0,0.0,0.0,0.0,3.0,100.0,5.191993713378906
Monday,04/12/2023,12:05:33,17,4,16,9.899999618530273,37.0,6.881871223449707,0.0,0.0,0.0,0.0,3.0,100.0,2.3051247596740723
Monday,04/12/2023,12:36:01,16,4,20,9.899999618530273,37.0,6.881871223449707,0.0,0.0,0.0,0.0,3.0,100.0,2.3051247596740723
Monday,04/12/2023,13:06:24,21,1,18,10.199999809265137,38.0,7.33055305480957,0.0,0.0,0.0,0.0,3.0,100.0,1.7999999523162842
Monday,04/12/2023,13:36:46,18,4,18,10.199999809265137,38.0,7.33055305480957,0.0,0.0,0.0,0.0,3.0,100.0,1.7999999523162842
Monday,04/12/2023,14:07:07,17,4,20,10.199999809265137,39.0,7.330166816711426,0.0,0.0,0.0,0.0,3.0,100.0,2.099142551422119
Monday,04/12/2023,14:37:37,17,10,23,10.199999809265137,39.0,7.330166816711426,0.0,0.0,0.0,0.0,3.0,100.0,2.099142551422119
Monday,04/12/2023,15:07:58,22,8,24,10.25,40.0,7.518851280212402,0.0,0.0,0.0,0.0,3.0,96.0,1.4843180179595947
Monday,04/12/2023,15:38:22,20,12,24,10.25,40.0,7.518851280212402,0.0,0.0,0.0,0.0,3.0,96.0,1.4843180179595947
Monday,04/12/2023,16:08:42,25,12,22,9.949999809265137,41.0,7.180879592895508,0.0,0.0,0.0,0.0,3.0,100.0,1.7999999523162842
Monday,04/12/2023,16:39:11,25,21,27,9.949999809265137,41.0,7.180879592895508,0.0,0.0,0.0,0.0,3.0,100.0,1.7999999523162842
Monday,04/12/2023,17:09:32,34,19,30,9.850000381469727,44.0,7.1264190673828125,0.0,0.0,0.0,0.0,3.0,86.0,2.2768397331237793
Monday,04/12/2023,17:39:53,31,19,38,9.850000381469727,44.0,7.1264190673828125,0.0,0.0,0.0,0.0,3.0,86.0,2.2768397331237793
Monday,04/12/2023,18:10:18,30,13,36,9.449999809265137,53.0,6.432858467102051,0.0,0.0,0.0,0.0,3.0,91.0,6.489992141723633
Monday,04/12/2023,18:40:50,25,15,40,9.449999809265137,53.0,6.432858467102051,0.0,0.0,0.0,0.0,3.0,91.0,6.489992141723633
Monday,04/12/2023,19:11:14,25,13,35,8.699999809265137,55.0,5.235058784484863,0.0,0.0,0.0,0.0,3.0,100.0,9.360000610351562
Monday,04/12/2023,19:41:38,27,15,39,8.699999809265137,55.0,5.235058784484863,0.0,0.0,0.0,0.0,3.0,100.0,9.360000610351562
Monday,04/12/2023,20:12:01,35,16,38,8.699999809265137,56.0,5.274150848388672,0.0,0.0,0.0,0.0,3.0,100.0,9.360000610351562
Monday,04/12/2023,20:42:37,36,19,49,8.699999809265137,56.0,5.274150848388672,0.0,0.0,0.0,0.0,3.0,100.0,9.360000610351562
Monday,04/12/2023,21:12:58,39,15,40,9.149999618530273,59.0,6.0088300704956055,0.0,0.0,0.0,0.0,3.0,100.0,8.699792861938477
Monday,04/12/2023,21:43:20,34,7,45,9.149999618530273,59.0,6.0088300704956055,0.0,0.0,0.0,0.0,3.0,100.0,8.699792861938477
Monday,04/12/2023,22:13:41,22,0,25,9.399999618530273,59.0,5.971164703369141,0.0,0.0,0.0,0.0,3.0,100.0,10.948972702026367
Tuesday,05/12/2023,06:58:51,0,0,0,10.149999618530273,64.0,5.585535049438477,0.0,0.0,0.0,0.0,2.0,68.0,21.068458557128906
Tuesday,05/12/2023,07:29:14,0,0,0,10.149999618530273,64.0,5.585535049438477,0.0,0.0,0.0,0.0,2.0,68.0,21.068458557128906
Tuesday,05/12/2023,07:59:36,0,0,0,10.75,64.0,6.176689147949219,0.0,0.0,0.0,0.0,3.0,93.0,21.900903701782227
Tuesday,05/12/2023,08:29:57,0,0,16,10.75,64.0,6.176689147949219,0.0,0.0,0.0,0.0,3.0,93.0,21.900903701782227
Tuesday,05/12/2023,09:00:28,0,0,20,11.75,62.0,6.901298522949219,0.0,0.0,0.0,0.0,2.0,87.0,24.479999542236328
Tuesday,05/12/2023,09:30:50,3,0,26,11.75,62.0,6.901298522949219,0.0,0.0,0.0,0.0,2.0,87.0,24.479999542236328
Tuesday,05/12/2023,10:01:14,11,1,21,12.649999618530273,67.0,8.303242683410645,0.0,0.0,0.0,0.0,3.0,98.0,24.023088455200195
Tuesday,05/12/2023,10:31:43,20,4,23,12.649999618530273,67.0,8.303242683410645,0.0,0.0,0.0,0.0,3.0,98.0,24.023088455200195
Tuesday,05/12/2023,11:02:06,22,9,20,12.649999618530273,68.0,8.07271957397461,0.0,0.0,0.0,0.0,3.0,100.0,25.952478408813477
Tuesday,05/12/2023,11:32:28,18,9,20,12.649999618530273,68.0,8.07271957397461,0.0,0.0,0.0,0.0,3.0,100.0,25.952478408813477
